ID,URL,COMMENT,ANNOTATIONS
cONvl0p08sMY,https://sendvid.com/cu9thw5w, *Bloody chin guy part 2? Or just a repeat?*,0
CQtHtEEczheT,https://sendvid.com/rharwwze,NA,0
CtpFcLr34Uql,https://sendvid.com/y5v7l3zs,NA,0
cwoMBUgoUj8T,https://sendvid.com/ufqx162e,NA,0
CxuimH5Nb5do,https://sendvid.com/g1kbhqrp,NA,0
D1hTLKXn3FIC,https://sendvid.com/lq9gco9n,NA,0
D1nBUG3Qu3sw,https://sendvid.com/8chy0o9o,NA,0
d1zM5ane4tm1,https://sendvid.com/nzu3k917,NA,0
d5Xmqp4NDLs6,https://sendvid.com/wc7z3ues,NA,0
dCrPCc3Hvnpm,https://sendvid.com/krmi654m,NA,0
dF2z7e7CkqqD,https://sendvid.com/3q7lafey,NA,0
dH7rHe3d36Wo,https://sendvid.com/6f09vcdl,NA,0
DIPqf1K2PJba,https://sendvid.com/6tzoe9sz, *Jesus saves*,0
DMtXYvwqu6HV,https://sendvid.com/fya6hnmf,NA,0
Dr91Sy9JPaqz,https://sendvid.com/7szfqxng,NA,0
Ds6ZUPblNzv4,https://sendvid.com/w8c7akmo,NA,0
Dwx71JWXxoKv,https://sendvid.com/fleq9iwz,NA,0
dyxOuy25PXw6,https://sendvid.com/mrutkb0v,NA,0
dZY4EmEcSdUF,https://sendvid.com/g7j2pe0m,NA,0
e8PppkH5mMcT,https://sendvid.com/yx24cqq8,NA,0
edx5l3yDUQ6B,https://sendvid.com/k7q10m4b,NA,0
eGOoR3I08FkK,https://sendvid.com/kck7y7da,NA,0
eGWFiGU2WtR8,https://sendvid.com/drx79k99,NA,0
eGWFiGU2WtR8,https://sendvid.com/nnj2okhn,NA,0
ehioYC9DKqYv,https://sendvid.com/avsoh8ph,NA,0
ehSae1O1C9pt,https://sendvid.com/12ndquzq,NA,0
ehSae1O1C9pt,https://sendvid.com/xj8bde29,NA,0
EjkHpFX9ATgp,https://sendvid.com/3f4azr1x,NA,0
EjkHpFX9ATgp,https://sendvid.com/76u4mwx8,NA,0
eLSgf3w5r4PI,https://sendvid.com/cdevvglz,NA,0
eLSgf3w5r4PI,https://sendvid.com/zdj0q6z4,NA,0
EniSIqkMzJqV,https://sendvid.com/jv62b6i2,NA,0
eQuAGfU87pPB,https://sendvid.com/sg82sg7h,NA,0
evguRVYcqPlB,https://sendvid.com/j64330z1,NA,0
fNodpDg9wS24,https://sendvid.com/gprurdk8,NA,0
fpdroYF3R9Fm,https://sendvid.com/mhsbgvg0,NA,0
FRPR3VqfBzIF,https://sendvid.com/ew1so1jx,NA,0
FsiTLLuzqPC5,https://sendvid.com/y5xloeuw,NA,0
ftbEXsKvOCYn,https://sendvid.com/wq6w5tr1,NA,0
g09yZZCplavI,https://sendvid.com/03ftgzf9,NA,0
G3QrHQ8hQT2j,https://sendvid.com/fyespom3,NA,0
g5Yl8ERzrXxe,https://sendvid.com/mslpcxa3,NA,0
G81yHTuMUvlX,https://sendvid.com/siipaqdh,NA,0
gAVN0Q4njfwD,https://sendvid.com/if4x4rdd,NA,0
gB5saDDhwvz9,https://sendvid.com/88squ9i0,NA,0
GDnybzI29aCx,https://sendvid.com/u3arhdpd,NA,0
GFrBbk68socZ,https://sendvid.com/jm53no8b,NA,0
gj867lWsCvHv,https://sendvid.com/t1vdfrcf,NA,1
GKDXRqh3021Z,https://sendvid.com/1wtwxfp9,NA,0
GkusTNyuZZWu,https://sendvid.com/f9chpnuq,NA,1
goL0HLdYn3Pb,https://sendvid.com/lsqsa2oo,NA,0
H06oXU0HGpUM,https://sendvid.com/zc2gsjoj,NA,1
h0ZpQjfbpkQL,https://sendvid.com/56c267ed,NA,1
h2nH3xXOsrQ5,https://sendvid.com/n3jjyb4f,NA,1
h3WFiY3EaDV4,https://sendvid.com/lbzp16n0,NA,1
h7o5lCy59fQJ,https://sendvid.com/9uoe9i57,NA,1
h8BjMg20Fk7s,https://sendvid.com/xv25bgqm,NA,1
Hcv3lzEsnWaa,https://sendvid.com/35xcgqz8,NA,1
hi0orAgffuhA,https://sendvid.com/7ons8r7f,NA,1
hL2yyR9YsFmy,https://sendvid.com/3c3r66zk,NA,1
HpFLIM31gIU3,https://sendvid.com/u0p72qq9,NA,1
HpQ07PUDmWDk,https://sendvid.com/1rkv84jj,NA,1
HS34fpbzqg2b,https://sendvid.com/wa3kicha,NA,1
HSEUpO8N6K1f,https://sendvid.com/5gaz3jbf,NA,1
i7PnrbCEXg6R,https://sendvid.com/e0dao18q,NA,1
i7xUeEr5Ysmm,https://sendvid.com/06zcg3ux,NA,1
I9VWJlj35vcy,https://sendvid.com/13iwmoek,NA,1
iBmtugeXvTOP,https://sendvid.com/vj5xk3xx,NA,1
IBrEVWHnY1c3,https://sendvid.com/tz2dg2bi,NA,1
IGhJlpaMZ7QE,https://sendvid.com/zhn7svjl,NA,1
IjCvip4YonXA,https://sendvid.com/ktqyb22j,NA,1
IKryGnxGkGMy,https://sendvid.com/kjr9dolk,NA,1
IlhIaEMwpl6i,https://sendvid.com/ogxwp1ez,NA,1
iLT5LyXUlPV9,https://sendvid.com/v039ta73,NA,1
IOqrjPvbQx6s,https://sendvid.com/tgfgjlh9,NA,0
IxOOCB3tAJ31,https://sendvid.com/zilcbczd,NA,0
IyVON4loRnvA,https://sendvid.com/szm3b7cc,NA,1
J9U6khb56IEE,https://sendvid.com/pk77ibup,NA,1
JFDVk6DaG1KD,https://sendvid.com/v7zf3t4c,NA,1
