"SourceFile","ID","CreateDate","Duration","LatitudeDD","LongitudeDD","sDuration","Year","Month","Day","Hour","URL","Working"
"meta-5lmXbMBh57vI.json","5lmXbMBh57vI","2021:01:06 19:50:58","26.65 s",38.8894,-77.011,26.65,2021,1,6,19,"https://video.parler.com/5l/mX/5lmXbMBh57vI.mp4",TRUE
"meta-63ExNlmUp31h.json","63ExNlmUp31h","2021:01:06 18:10:41","0:01:10",38.8936,-77.0367,70,2021,1,6,18,"https://video.parler.com/63/Ex/63ExNlmUp31h.mp4",TRUE
"meta-64mhsecOOjLa.json","64mhsecOOjLa","2021:01:06 23:34:27","0:00:33",38.8962,-77.0321,33,2021,1,6,23,"https://video.parler.com/64/mh/64mhsecOOjLa.mp4",TRUE
"meta-6FY6c0d8IMjz.json","6FY6c0d8IMjz","2021:01:06 19:28:31","18.01 s",38.8897,-77.0103,18.01,2021,1,6,19,"https://video.parler.com/6F/Y6/6FY6c0d8IMjz.mp4",TRUE
"meta-6JbG6I0FrJhn.json","6JbG6I0FrJhn","2021:01:06 23:15:26","0:01:48",38.8898,-77.0103,108,2021,1,6,23,"https://video.parler.com/6J/bG/6JbG6I0FrJhn.mp4",TRUE
"meta-6VYEdaOOP3hD.json","6VYEdaOOP3hD","2021:01:06 20:21:40","7.86 s",38.8895,-77.0104,7.86,2021,1,6,20,"https://video.parler.com/6V/YE/6VYEdaOOP3hD.mp4",TRUE
"meta-6X2ZhStzVa3k.json","6X2ZhStzVa3k","2021:01:06 21:42:32","0:09:07",38.8926,-77.0266,547,2021,1,6,21,"https://video.parler.com/6X/2Z/6X2ZhStzVa3k.mp4",TRUE
"meta-7fckI1220tbu.json","7fckI1220tbu","2021:01:06 18:19:23","0:00:57",38.89,-77.0103,57,2021,1,6,18,"https://video.parler.com/7f/ck/7fckI1220tbu.mp4",TRUE
"meta-7Fu9YJVZmNkj.json","7Fu9YJVZmNkj","2021:01:06 19:24:58","28.74 s",38.8906,-77.0123,28.74,2021,1,6,19,"https://video.parler.com/7F/u9/7Fu9YJVZmNkj.mp4",TRUE
"meta-7ImZGTdfdcUk.json","7ImZGTdfdcUk","2021:01:06 20:10:24","18.61 s",38.8898,-77.01,18.61,2021,1,6,20,"https://video.parler.com/7I/mZ/7ImZGTdfdcUk.mp4",TRUE
