SourceFile;ID;CreateDate;Duration;Latitude;Longitude;LatitudeDD;LongitudeDD;sDuration;Year;Month;Day;Hour;Working;URL;Contents;
meta-BKSLTTzLt0u2.json;BKSLTTzLt0u2;2021:01:06 16:55:10;0:00:43;"38 deg 53' 28.32"" N";"77 deg 2' 10.68"" W";38.8912;-77.0363;43;2021;1;6;16;TRUE;https://video.parler.com/BK/SL/BKSLTTzLt0u2.mp4;;
meta-BKzCTrgUan1v.json;BKzCTrgUan1v;2021:01:06 19:45:08;27.43 s;"38 deg 53' 22.92"" N";"77 deg 0' 37.80"" W";38.8897;-77.0105;27.43;2021;1;6;19;FALSE;https://video.parler.com/BK/zC/BKzCTrgUan1v.mp4;;
meta-bMHWhr5qAMH9.json;bMHWhr5qAMH9;2021:01:06 19:14:18;20.22 s;"38 deg 53' 24.36"" N";"77 deg 0' 37.44"" W";38.8901;-77.0104;20.22;2021;1;6;19;FALSE;https://video.parler.com/bM/HW/bMHWhr5qAMH9.mp4;;
meta-BnoDFbldwdly.json;BnoDFbldwdly;2021:01:06 20:10:22;25.39 s;"38 deg 53' 23.64"" N";"77 deg 0' 37.08"" W";38.8899;-77.0103;25.39;2021;1;6;20;TRUE;https://video.parler.com/Bn/oD/BnoDFbldwdly.mp4;;
meta-bpO11ESzb4Jt.json;bpO11ESzb4Jt;2021:01:06 16:07:48;20.92 s;"38 deg 53' 29.76"" N";"77 deg 1' 59.52"" W";38.8916;-77.0332;20.92;2021;1;6;16;FALSE;https://video.parler.com/bp/O1/bpO11ESzb4Jt.mp4;;
meta-BQ97NR3FGlWY.json;BQ97NR3FGlWY;2021:01:06 21:01:23;28.52 s;"38 deg 53' 9.24"" N";"77 deg 0' 27.36"" W";38.8859;-77.0076;28.52;2021;1;6;21;TRUE;https://video.parler.com/BQ/97/BQ97NR3FGlWY.mp4;;
meta-bqc61J4Nsg9a.json;bqc61J4Nsg9a;2021:01:06 18:34:10;23.82 s;"38 deg 54' 5.76"" N";"77 deg 2' 18.96"" W";38.9016;-77.0386;23.82;2021;1;6;18;TRUE;https://video.parler.com/bq/c6/bqc61J4Nsg9a.mp4;;
meta-bqcFHFPlIxVz.json;bqcFHFPlIxVz;2021:01:06 00:17:28;0:00:30;"38 deg 53' 44.88"" N";"77 deg 1' 52.32"" W";38.8958;-77.0312;30;2021;1;6;0;FALSE;https://video.parler.com/bq/cF/bqcFHFPlIxVz.mp4;;
meta-BQQyPL9LxpLz.json;BQQyPL9LxpLz;2021:01:06 18:36:35;0:01:33;"38 deg 53' 31.92"" N";"77 deg 1' 3.36"" W";38.8922;-77.0176;93;2021;1;6;18;FALSE;https://video.parler.com/BQ/Qy/BQQyPL9LxpLz.mp4;;
meta-bQvQLbiTz0q5.json;bQvQLbiTz0q5;2021:01:06 16:08:38;16.75 s;"38 deg 53' 34.80"" N";"77 deg 1' 13.08"" W";38.893;-77.0203;16.75;2021;1;6;16;FALSE;https://video.parler.com/bQ/vQ/bQvQLbiTz0q5.mp4;;
meta-BVo7j7cX5sF9.json;BVo7j7cX5sF9;2021:01:06 15:32:59;0:00:54;"38 deg 53' 30.12"" N";"77 deg 2' 12.12"" W";38.8917;-77.0367;54;2021;1;6;15;TRUE;https://video.parler.com/BV/o7/BVo7j7cX5sF9.mp4;;
meta-bVPcTXidhYjP.json;bVPcTXidhYjP;2021:01:06 22:07:39;0:00:31;"38 deg 53' 22.56"" N";"77 deg 0' 36.72"" W";38.8896;-77.0102;31;2021;1;6;22;TRUE;https://video.parler.com/bV/Pc/bVPcTXidhYjP.mp4;;
meta-BxD1M9oq62fW.json;BxD1M9oq62fW;2021:01:06 18:11:29;9.31 s;"38 deg 53' 21.12"" N";"77 deg 0' 43.56"" W";38.8892;-77.0121;9.31;2021;1;6;18;FALSE;https://video.parler.com/Bx/D1/BxD1M9oq62fW.mp4;;
meta-BziLuY5elmb1.json;BziLuY5elmb1;2021:01:06 04:44:08;16.45 s;"38 deg 54' 4.68"" N";"77 deg 2' 11.40"" W";38.9013;-77.0365;16.45;2021;1;6;4;TRUE;https://video.parler.com/Bz/iL/BziLuY5elmb1.mp4;;
meta-BzlETjKJ7mw7.json;BzlETjKJ7mw7;2021:01:06 20:09:31;26.66 s;"38 deg 53' 22.20"" N";"77 deg 0' 39.24"" W";38.8895;-77.0109;26.66;2021;1;6;20;FALSE;https://video.parler.com/Bz/lE/BzlETjKJ7mw7.mp4;;
meta-C0iVFlxMD0xd.json;C0iVFlxMD0xd;2021:01:06 18:14:11;0:00:43;"38 deg 53' 30.84"" N";"77 deg 2' 11.40"" W";38.8919;-77.0365;43;2021;1;6;18;FALSE;https://video.parler.com/C0/iV/C0iVFlxMD0xd.mp4;;
meta-c0nIoRasIm5z.json;c0nIoRasIm5z;2021:01:06 20:42:18;24.67 s;"38 deg 53' 23.28"" N";"77 deg 0' 29.88"" W";38.8898;-77.0083;24.67;2021;1;6;20;TRUE;https://video.parler.com/c0/nI/c0nIoRasIm5z.mp4;;
meta-c1aUD7fjRKls.json;c1aUD7fjRKls;2021:01:06 12:56:29;14.73 s;"38 deg 53' 28.68"" N";"77 deg 2' 4.20"" W";38.8913;-77.0345;14.73;2021;1;6;12;FALSE;https://video.parler.com/c1/aU/c1aUD7fjRKls.mp4;;
meta-c1BJ5UScIV4j.json;c1BJ5UScIV4j;2021:01:06 23:50:40;1.00 s;"38 deg 53' 30.12"" N";"77 deg 2' 11.04"" W";38.8917;-77.0364;1;2021;1;6;23;FALSE;https://video.parler.com/c1/BJ/c1BJ5UScIV4j.mp4;;
meta-c1vJVaLcIdbk.json;c1vJVaLcIdbk;2021:01:06 20:11:14;0:00:32;"38 deg 53' 23.28"" N";"77 deg 0' 36.36"" W";38.8898;-77.0101;32;2021;1;6;20;FALSE;https://video.parler.com/c1/vJ/c1vJVaLcIdbk.mp4;;
meta-C2NlgX1NxiL3.json;C2NlgX1NxiL3;2021:01:06 18:38:24;0:00:47;"38 deg 53' 19.32"" N";"77 deg 0' 49.68"" W";38.8887;-77.0138;47;2021;1;6;18;FALSE;https://video.parler.com/C2/Nl/C2NlgX1NxiL3.mp4;;
meta-C4IM4xTcxLWH.json;C4IM4xTcxLWH;2021:01:06 18:40:26;26.35 s;"38 deg 53' 23.64"" N";"77 deg 0' 39.24"" W";38.8899;-77.0109;26.35;2021;1;6;18;TRUE;https://video.parler.com/C4/IM/C4IM4xTcxLWH.mp4;;
meta-C4YoY0OUVVNO.json;C4YoY0OUVVNO;2021:01:06 20:20:37;0:00:46;"38 deg 53' 21.12"" N";"77 deg 0' 34.56"" W";38.8892;-77.0096;46;2021;1;6;20;FALSE;https://video.parler.com/C4/Yo/C4YoY0OUVVNO.mp4;;
meta-C5u7WZz0ibfe.json;C5u7WZz0ibfe;2021:01:06 21:41:11;0:00:31;"38 deg 53' 22.20"" N";"77 deg 0' 37.08"" W";38.8895;-77.0103;31;2021;1;6;21;FALSE;https://video.parler.com/C5/u7/C5u7WZz0ibfe.mp4;;
meta-C6CA3XcXO87g.json;C6CA3XcXO87g;2021:01:06 20:09:55;0:01:06;"38 deg 53' 23.64"" N";"77 deg 0' 32.40"" W";38.8899;-77.009;66;2021;1;6;20;FALSE;https://video.parler.com/C6/CA/C6CA3XcXO87g.mp4;;
meta-C6icT24heT8w.json;C6icT24heT8w;2021:01:06 16:44:24;0.27 s;"38 deg 53' 31.92"" N";"77 deg 2' 5.64"" W";38.8922;-77.0349;0.27;2021;1;6;16;FALSE;https://video.parler.com/C6/ic/C6icT24heT8w.mp4;;
meta-c7pkKiK235B9.json;c7pkKiK235B9;2021:01:06 20:01:50;0:00:59;"38 deg 53' 22.56"" N";"77 deg 0' 38.88"" W";38.8896;-77.0108;59;2021;1;6;20;FALSE;https://video.parler.com/c7/pk/c7pkKiK235B9.mp4;;
